날짜,홈팀,원정팀,홈선발,원정선발,홈점수,원정점수,승리팀
2024-04-18,키움,KT,헤이수스,벤자민,0,3,KT
2024-04-18,LG,롯데,켈리,박세웅,2,9,롯데
2024-04-18,삼성,두산,이승현,곽빈,5,2,삼성
2024-04-19,롯데,KT,반즈,김민수,4,3,롯데
2024-04-19,SSG,LG,한두솔,최원태,1,4,LG
2024-04-19,KIA,NC,정해영,이용찬,4,3,KIA
2024-04-19,한화,삼성,페냐,이호성,6,1,한화
2024-04-19,두산,키움,이병헌,손현기,19,8,두산
2024-04-20,KIA,NC,네일,하트,9,2,KIA
2024-04-20,한화,삼성,황준서,원태인,0,1,삼성
2024-04-21,롯데,KT,,,9,9,KT
2024-04-21,SSG,LG,노경은,우강훈,8,10,LG
2024-04-21,KIA,NC,김건국,김영규,4,15,NC
2024-04-21,한화,삼성,한승혁,김태훈,3,5,삼성
2024-04-21,두산,키움,김동주,후라도,4,8,키움
2024-04-21,SSG,LG,,,5,5,LG
2024-04-21,두산,키움,정철원,주승우,2,1,두산
2024-04-21,롯데,KT,나균안,엄상백,7,5,롯데
2024-04-23,KT,한화,김민수,한승혁,9,6,KT
2024-04-23,키움,KIA,조상우,곽도규,2,5,KIA
2024-04-23,삼성,LG,이승민,이우찬,7,3,삼성
2024-04-23,두산,NC,박정수,신민혁,4,3,두산
2024-04-24,KT,한화,벤자민,류현진,7,1,KT
2024-04-24,키움,KIA,헤이수스,윤영철,4,6,KIA
2024-04-24,삼성,LG,이승현,켈리,6,0,삼성
2024-04-24,두산,NC,박정수,이재학,1,3,NC
2024-04-24,롯데,SSG,전미르,노경은,7,12,SSG
2024-04-25,KT,한화,원상현,페냐,9,0,KT
2024-04-25,키움,KIA,이종민,양현종,2,13,KIA
2024-04-25,삼성,LG,이호성,최원태,2,8,LG
2024-04-25,두산,NC,최원준,카스타노,7,3,두산
2024-04-25,롯데,SSG,박세웅,박종훈,6,3,롯데
2024-04-26,LG,KIA,이우찬,전상현,7,6,LG
2024-04-26,SSG,KT,오원석,엄상백,5,2,SSG
2024-04-26,NC,롯데,하트,반즈,4,0,NC
2024-04-26,한화,두산,황준서,김유성,5,10,두산
2024-04-26,키움,삼성,김인범,원태인,0,3,삼성
2024-04-27,LG,KIA,이우찬,황동하,6,3,LG
2024-04-27,SSG,KT,김광현,쿠에바스,2,5,KT
2024-04-27,NC,롯데,김시훈,나균안,2,0,NC
2024-04-27,한화,두산,장시환,박정수,10,5,한화
2024-04-27,키움,삼성,후라도,코너,0,11,삼성
2024-04-28,LG,KIA,박명근,최지민,7,10,KIA
2024-04-28,SSG,KT,엘리아스,육청명,11,6,SSG
2024-04-28,NC,롯데,송명기,윌커슨,5,3,NC
2024-04-28,한화,두산,문동주,김택연,8,17,두산
2024-04-28,키움,삼성,하영민,레예스,6,11,삼성
2024-04-30,KIA,KT,윤영철,벤자민,4,11,KT
2024-04-30,NC,LG,이재학,켈리,8,0,NC
2024-04-30,한화,SSG,류현진,이기순,8,2,한화
2024-04-30,두산,삼성,곽빈,이승현,4,0,두산
2024-04-30,롯데,키움,이인복,헤이수스,7,9,키움
2024-05-01,KIA,KT,양현종,원상현,9,1,KIA
2024-05-01,NC,LG,카스타노,최원태,1,10,LG
2024-05-01,한화,SSG,박상원,박민호,7,8,SSG
2024-05-01,두산,삼성,브랜든,이호성,2,9,삼성
2024-05-01,롯데,키움,전미르,김성민,3,6,키움
2024-05-02,KIA,KT,네일,엄상백,5,12,KT
2024-05-02,NC,LG,이용찬,유영찬,4,5,LG
2024-05-02,한화,SSG,장민재,고효준,3,4,SSG
2024-05-02,두산,삼성,최원준,원태인,2,4,삼성
2024-05-02,롯데,키움,최준용,김재웅,6,5,롯데
2024-05-03,KIA,한화,황동하,산체스,2,4,한화
2024-05-03,삼성,롯데,김재윤,김상수,7,8,롯데
2024-05-03,SSG,NC,김광현,김재열,5,19,NC
2024-05-03,LG,두산,엔스,이병헌,4,6,두산
2024-05-03,KT,키움,박영현,김동혁,2,1,KT
2024-05-04,LG,두산,손주영,이병헌,2,3,두산
2024-05-04,KIA,한화,크로우,이태양,10,2,KIA
2024-05-04,삼성,롯데,최하늘,윌커슨,2,9,롯데
2024-05-04,SSG,NC,엘리아스,서의태,6,8,NC
2024-05-04,KT,키움,육청명,하영민,6,2,KT
2024-05-07,키움,두산,이종민,곽빈,4,13,두산
2024-05-07,LG,SSG,최원태,송영진,2,4,SSG
2024-05-08,롯데,한화,반즈,류현진,6,1,롯데
2024-05-08,삼성,KIA,이승현,정해영,2,4,KIA
2024-05-08,KT,NC,주권,이용찬,7,6,KT
2024-05-08,키움,두산,김성민,브랜든,1,6,두산
2024-05-08,LG,SSG,이우찬,오원석,8,5,LG
2024-05-09,롯데,한화,한현희,페냐,18,5,롯데
2024-05-09,삼성,KIA,이승현,최지민,5,2,삼성
2024-05-09,KT,NC,쿠에바스,신민혁,6,2,KT
2024-05-09,키움,두산,주승우,최지강,2,5,두산
2024-05-09,LG,SSG,박명근,김광현,3,1,LG
2024-05-10,두산,KT,이영하,원상현,7,3,두산
2024-05-10,롯데,LG,박세웅,엔스,1,9,LG
2024-05-10,KIA,SSG,전상현,최민준,2,4,SSG
2024-05-10,NC,삼성,하트,코너,10,3,NC
2024-05-10,한화,키움,주현상,김동혁,5,4,한화
2024-05-11,한화,키움,황준서,헤이수스,1,7,키움
2024-05-11,롯데,LG,윌커슨,손주영,1,2,LG
2024-05-11,NC,삼성,김영규,이승현,2,3,삼성
2024-05-12,두산,KT,최준호,벤자민,12,4,두산
2024-05-12,롯데,LG,최준용,김진성,4,6,LG
2024-05-12,KIA,SSG,최지민,노경은,3,2,KIA
2024-05-12,NC,삼성,이재학,레예스,2,7,삼성
2024-05-12,한화,키움,조동욱,전준표,8,3,한화
2024-05-12,두산,KT,곽빈,육청명,8,4,두산
2024-05-12,KIA,SSG,김도현,노경은,6,10,SSG
2024-05-14,KT,롯데,김민,전미르,7,4,KT
2024-05-14,한화,NC,,,5,5,NC
2024-05-14,KIA,두산,양현종,브랜든,5,8,두산
2024-05-14,SSG,삼성,오원석,원태인,9,2,SSG
2024-05-14,LG,키움,켈리,김인범,0,5,키움
2024-05-15,한화,NC,페냐,신민혁,1,16,NC
2024-05-15,KIA,두산,네일,최원준,8,4,KIA
2024-05-16,KT,롯데,쿠에바스,박세웅,0,2,롯데
2024-05-16,한화,NC,산체스,하트,3,4,NC
2024-05-16,KIA,두산,,,7,7,두산
2024-05-16,SSG,삼성,조병현,코너,4,12,삼성
2024-05-16,LG,키움,엔스,후라도,5,6,키움
2024-05-17,삼성,한화,이승현,황준서,7,5,삼성
2024-05-17,NC,KIA,김재열,김도현,4,7,KIA
2024-05-17,KT,LG,원상현,임찬규,5,13,LG
2024-05-17,두산,롯데,최준호,윌커슨,1,5,롯데
2024-05-17,키움,SSG,김재웅,노경은,4,5,SSG
2024-05-18,삼성,한화,김재윤,주현상,9,8,삼성
2024-05-18,NC,KIA,이재학,황동하,2,7,KIA
2024-05-18,KT,LG,주권,최원태,6,7,LG
2024-05-18,두산,롯데,곽빈,나균안,8,3,두산
2024-05-18,키움,SSG,이종민,박민호,0,3,SSG
2024-05-19,삼성,한화,이호성,류현진,2,12,한화
2024-05-19,NC,KIA,이용찬,장현식,1,2,KIA
2024-05-19,KT,LG,김민수,손주영,10,4,KT
2024-05-19,두산,롯데,,,3,3,롯데
2024-05-19,키움,SSG,김인범,오원석,10,3,키움
2024-05-21,롯데,KIA,반즈,곽도규,6,1,롯데
2024-05-21,삼성,KT,김재윤,손동현,5,8,KT
2024-05-21,한화,LG,문동주,켈리,8,4,한화
2024-05-21,키움,NC,하영민,신민혁,3,5,NC
2024-05-21,두산,SSG,최원준,이건욱,8,6,두산
2024-05-22,롯데,KIA,박세웅,윤영철,4,2,롯데
2024-05-22,삼성,KT,코너,쿠에바스,3,1,삼성
2024-05-22,한화,LG,이민우,김유영,7,5,한화
2024-05-22,키움,NC,주승우,류진욱,3,4,NC
2024-05-22,두산,SSG,김택연,노경은,3,1,두산
2024-05-23,롯데,KIA,윌커슨,김사윤,10,6,롯데
2024-05-23,삼성,KT,이승현,원상현,2,9,KT
2024-05-23,한화,LG,황준서,임찬규,4,8,LG
2024-05-23,키움,NC,김성민,한재승,6,4,키움
2024-05-23,두산,SSG,최준호,송영진,10,3,두산
2024-05-24,SSG,한화,앤더슨,김규연,5,7,한화
2024-05-24,LG,NC,최원태,이준호,11,4,LG
2024-05-24,KIA,두산,장현식,최지강,5,7,두산
2024-05-24,롯데,삼성,나균안,이승현,5,11,삼성
2024-05-24,KT,키움,박영현,김선기,5,4,KT
2024-05-25,LG,NC,손주영,이용준,10,6,LG
2024-05-25,KIA,두산,양현종,브랜든,6,2,KIA
2024-05-25,SSG,한화,문승원,주현상,2,4,한화
2024-05-25,롯데,삼성,구승민,김재윤,7,6,롯데
2024-05-25,KT,키움,엄상백,김인범,5,2,KT
2024-05-26,LG,NC,켈리,카스타노,6,3,LG
2024-05-26,KIA,두산,네일,알칸타라,5,2,KIA
2024-05-26,롯데,삼성,최이준,원태인,9,1,롯데
2024-05-28,NC,KIA,신민혁,윤영철,8,11,KIA
2024-05-28,두산,KT,최원준,쿠에바스,3,12,KT
2024-05-28,SSG,LG,김광현,엔스,5,7,LG
2024-05-28,한화,롯데,문동주,박세웅,12,3,한화
2024-05-28,삼성,키움,코너,후라도,3,4,키움
2024-05-29,NC,KIA,하트,임기영,3,6,KIA
2024-05-29,두산,KT,이병헌,원상현,12,6,두산
2024-05-29,SSG,LG,송영진,임찬규,4,13,LG
2024-05-29,한화,롯데,황준서,윌커슨,3,0,한화
2024-05-29,삼성,키움,이승현,헤이수스,5,11,키움
2024-05-30,NC,KIA,김시훈,황동하,2,11,KIA
2024-05-30,두산,KT,곽빈,한차현,6,1,두산
2024-05-30,SSG,LG,앤더슨,최원태,8,2,SSG
2024-05-30,한화,롯데,김기중,나균안,15,0,한화
2024-05-30,삼성,키움,레예스,이종민,4,2,삼성
2024-05-31,삼성,한화,임창민,박상원,8,6,삼성
2024-05-31,KIA,KT,양현종,엄상백,5,8,KT
2024-05-31,두산,LG,브랜든,손주영,3,6,LG
2024-05-31,롯데,NC,김진욱,신영우,13,5,롯데
2024-05-31,키움,SSG,김인범,오원석,2,4,SSG
2024-06-01,삼성,한화,원태인,조동욱,6,4,삼성
2024-06-01,KIA,KT,네일,육청명,4,2,KIA
2024-06-01,두산,LG,김명신,김대현,5,8,LG
2024-06-01,롯데,NC,전미르,한재승,2,4,NC
2024-06-01,키움,SSG,조영건,시라카와,0,9,SSG
2024-06-02,두산,LG,김유성,엔스,1,9,LG
2024-06-02,키움,SSG,전준표,이기순,2,6,SSG
2024-06-02,삼성,한화,김태훈,이민우,1,0,삼성
2024-06-02,KIA,KT,윤영철,쿠에바스,3,11,KT
2024-06-02,롯데,NC,최이준,임정호,13,4,롯데
2024-06-04,KT,한화,벤자민,장민재,2,8,한화
2024-06-04,KIA,롯데,임기영,윌커슨,0,6,롯데
2024-06-04,NC,두산,류진욱,홍건희,1,4,두산
2024-06-04,SSG,삼성,조병현,이승현,1,3,삼성
2024-06-04,LG,키움,이믿음,헤이수스,3,11,키움
2024-06-05,KT,한화,한차현,김기중,2,12,한화
2024-06-05,KIA,롯데,황동하,한현희,3,9,롯데
2024-06-05,NC,두산,송명기,이영하,3,4,두산
2024-06-05,SSG,삼성,앤더슨,레예스,7,3,SSG
2024-06-05,LG,키움,김대현,오석주,4,2,LG
2024-06-06,KIA,롯데,곽도규,전미르,5,4,KIA
2024-06-06,SSG,삼성,오원석,이호성,4,0,SSG
2024-06-06,KT,한화,엄상백,류현진,0,6,한화
2024-06-06,NC,두산,임상현,브랜든,4,8,두산
2024-06-06,LG,키움,손주영,김인범,8,4,LG
2024-06-07,두산,KIA,정철원,김도현,6,5,두산
2024-06-07,KT,LG,손동현,켈리,7,8,LG
2024-06-07,한화,NC,산체스,카스타노,2,6,NC
2024-06-07,롯데,SSG,최이준,시라카와,11,7,롯데
2024-06-07,키움,삼성,오석주,김태훈,7,5,키움
2024-06-08,두산,KIA,김명신,알드레드,9,8,두산
2024-06-08,KT,LG,쿠에바스,엔스,2,8,LG
2024-06-08,한화,NC,문동주,신민혁,2,4,NC
2024-06-08,키움,삼성,후라도,코너,10,3,키움
2024-06-09,롯데,SSG,박세웅,김광현,1,5,SSG
2024-06-09,키움,삼성,헤이수스,이승현,1,7,삼성
2024-06-09,두산,KIA,최준호,윤영철,2,8,KIA
2024-06-09,KT,LG,벤자민,이우찬,11,2,KT
2024-06-09,한화,NC,,,3,3,NC
2024-06-09,롯데,SSG,윌커슨,송영진,5,3,롯데
2024-06-11,두산,한화,곽빈,바리아,1,6,한화
2024-06-11,SSG,KIA,노경은,김도현,7,6,SSG
2024-06-11,NC,KT,송명기,한차현,8,6,NC
2024-06-11,삼성,LG,레예스,김유영,6,4,삼성
2024-06-11,롯데,키움,한현희,하영민,2,5,키움
2024-06-12,두산,한화,홍건희,한승혁,3,4,한화
2024-06-12,SSG,KIA,서진용,양현종,7,13,KIA
2024-06-12,NC,KT,임상현,엄상백,8,11,KT
2024-06-12,삼성,LG,최지광,김진수,5,4,삼성
2024-06-12,롯데,키움,김진욱,이종민,9,2,롯데
2024-06-13,두산,한화,최원준,산체스,9,6,두산
2024-06-13,SSG,KIA,시라카와,네일,7,1,SSG
2024-06-13,NC,KT,카스타노,육청명,5,3,NC
2024-06-13,삼성,LG,이호성,켈리,6,3,삼성
2024-06-13,롯데,키움,구승민,문성현,18,10,롯데
2024-06-14,KT,KIA,쿠에바스,알드레드,1,11,KIA
2024-06-14,LG,롯데,엔스,이민석,5,3,LG
2024-06-14,키움,두산,주승우,홍건희,4,6,두산
2024-06-14,한화,SSG,문동주,송영진,4,11,SSG
2024-06-14,NC,삼성,배재환,코너,4,7,삼성
2024-06-15,KT,KIA,벤자민,윤영철,1,2,KIA
2024-06-15,LG,롯데,유영찬,구승민,8,9,롯데
2024-06-15,키움,두산,문성현,이영하,1,4,두산
2024-06-15,한화,SSG,황준서,김광현,1,9,SSG
2024-06-15,NC,삼성,이용찬,양현,6,4,NC
2024-06-16,키움,두산,하영민,곽빈,8,2,키움
2024-06-16,KT,KIA,한차현,황동하,1,3,KIA
2024-06-16,LG,롯데,김영준,김도규,9,8,LG
2024-06-16,한화,SSG,바리아,박종훈,4,1,한화
2024-06-16,NC,삼성,김영규,오승환,5,4,NC
2024-06-18,KIA,LG,양현종,손주영,11,4,KIA
2024-06-18,KT,롯데,엄상백,한현희,6,4,KT
2024-06-18,두산,NC,브랜든,임상현,6,2,두산
2024-06-18,삼성,SSG,이승민,앤더슨,3,8,SSG
2024-06-18,한화,키움,류현진,김인범,3,0,한화
2024-06-19,KIA,LG,최지민,백승현,5,7,LG
2024-06-19,KT,롯데,고영표,나균안,5,13,롯데
2024-06-19,두산,NC,최원준,카스타노,5,7,NC
2024-06-19,삼성,SSG,원태인,오원석,13,2,삼성
2024-06-19,한화,키움,한승혁,정찬헌,14,11,한화
2024-06-20,KIA,LG,전상현,김진성,6,5,KIA
2024-06-20,KT,롯데,박영현,김원중,7,6,KT
2024-06-20,두산,NC,알칸타라,신민혁,2,0,두산
2024-06-20,삼성,SSG,코너,송영진,4,0,삼성
2024-06-20,한화,키움,문동주,후라도,0,7,키움
2024-06-21,KIA,한화,윤영철,황준서,8,3,KIA
2024-06-21,LG,KT,유영찬,김민,2,3,KT
2024-06-21,키움,롯데,헤이수스,박세웅,5,2,키움
2024-06-21,SSG,NC,시라카와,하트,2,3,NC
2024-06-21,삼성,두산,이승현,최준호,7,4,삼성
2024-06-22,키움,롯데,하영민,윌커슨,1,6,롯데
2024-06-22,SSG,NC,김광현,김시훈,12,4,SSG
2024-06-23,KIA,한화,정해영,주현상,8,9,한화
2024-06-23,LG,KT,임찬규,강건,7,2,LG
2024-06-23,키움,롯데,이종민,한현희,2,10,롯데
2024-06-23,삼성,두산,김재윤,김강률,7,4,삼성
2024-06-23,SSG,NC,조병현,김영규,6,18,NC
2024-06-23,LG,KT,손주영,엄상백,3,4,KT
2024-06-23,KIA,한화,임기영,바리아,4,1,KIA
2024-06-23,삼성,두산,백정현,김동주,10,4,삼성
2024-06-25,롯데,KIA,,,15,15,KIA
2024-06-25,SSG,KT,오원석,고영표,1,6,KT
2024-06-25,키움,NC,문성현,이용찬,6,5,키움
2024-06-25,한화,두산,와이스,최원준,5,4,한화
2024-06-25,LG,삼성,켈리,원태인,4,0,LG
2024-06-26,롯데,KIA,진해수,곽도규,6,4,롯데
2024-06-26,SSG,KT,송영진,육청명,10,5,SSG
2024-06-26,키움,NC,후라도,카스타노,10,7,키움
2024-06-26,한화,두산,문동주,홍건희,8,15,두산
2024-06-26,LG,삼성,유영찬,김태훈,2,1,LG
2024-06-27,롯데,KIA,박세웅,윤영철,11,2,롯데
2024-06-27,SSG,KT,고효준,벤자민,8,16,KT
2024-06-27,키움,NC,헤이수스,신민혁,9,7,키움
2024-06-27,한화,두산,김기중,최준호,8,3,한화
2024-06-27,LG,삼성,이상영,이승현,1,2,삼성
2024-06-28,롯데,한화,윌커슨,바리아,6,4,롯데
2024-06-28,NC,LG,하트,이지강,8,2,NC
2024-06-28,두산,SSG,곽빈,김광현,10,0,두산
2024-06-28,KT,삼성,김민,오승환,5,4,KT
2024-06-28,KIA,키움,임기영,하영민,6,17,키움
2024-06-29,두산,SSG,김동주,앤더슨,0,6,SSG
2024-06-30,KT,삼성,,,2,2,삼성
2024-06-30,NC,LG,김재열,정우영,6,9,LG
2024-06-30,두산,SSG,최지강,조병현,1,3,SSG
2024-06-30,KT,삼성,김민,김재윤,2,1,KT
2024-07-02,삼성,KIA,김재윤,전상현,5,9,KIA
2024-07-02,한화,KT,박상원,박영현,5,6,KT
2024-07-02,키움,LG,주승우,정우영,4,2,키움
2024-07-03,삼성,KIA,최성훈,장현식,4,6,KIA
2024-07-03,한화,KT,류현진,벤자민,2,3,KT
2024-07-03,키움,LG,헤이수스,엔스,4,1,키움
2024-07-03,두산,롯데,최지강,이민석,13,8,두산
2024-07-03,NC,SSG,카스타노,엘리아스,4,1,NC
2024-07-04,삼성,KIA,오승환,황동하,3,8,KIA
2024-07-04,한화,KT,김기중,김민수,13,5,한화
2024-07-04,키움,LG,하영민,임찬규,2,3,LG
2024-07-04,두산,롯데,곽빈,윌커슨,6,3,두산
2024-07-04,NC,SSG,신민혁,이로운,2,0,NC
2024-07-06,드림,나눔,김민,류현진,2,4,나눔
2024-07-09,키움,한화,김성민,황준서,5,3,키움
2024-07-09,LG,KIA,켈리,네일,4,11,KIA
2024-07-09,SSG,롯데,문승원,김상수,7,4,SSG
2024-07-10,키움,한화,헤이수스,바리아,0,7,한화
2024-07-10,LG,KIA,백승현,전상현,2,5,KIA
2024-07-10,SSG,롯데,김광현,반즈,1,6,롯데
2024-07-10,삼성,NC,레예스,카스타노,15,6,삼성
2024-07-10,KT,두산,우규민,김택연,7,6,KT
2024-07-11,키움,한화,조영건,김서현,5,4,키움
2024-07-11,LG,KIA,임찬규,알드레드,2,4,KIA
2024-07-11,SSG,롯데,앤더슨,윌커슨,5,4,SSG
2024-07-11,삼성,NC,코너,신민혁,6,4,삼성
2024-07-11,KT,두산,쿠에바스,이교훈,1,12,두산
2024-07-12,롯데,KT,김상수,김민,4,5,KT
2024-07-12,한화,LG,문동주,최원태,6,0,한화
2024-07-12,KIA,SSG,황동하,한두솔,6,14,SSG
2024-07-12,두산,삼성,곽빈,백정현,5,9,삼성
2024-07-12,NC,키움,하트,김인범,9,2,NC
2024-07-13,롯데,KT,구승민,엄상백,3,6,KT
2024-07-13,한화,LG,김기중,손주영,3,7,LG
2024-07-13,KIA,SSG,장현식,노경은,9,15,SSG
2024-07-13,두산,삼성,이영하,원태인,8,4,두산
2024-07-13,NC,키움,이재학,김윤하,11,5,NC
2024-07-14,한화,LG,와이스,켈리,4,8,LG
2024-07-14,KIA,SSG,장현식,노경은,13,4,KIA
2024-07-14,두산,삼성,이영하,이승현,2,6,삼성
2024-07-16,키움,KT,후라도,벤자민,3,4,KT
2024-07-16,롯데,두산,반즈,홍건희,4,0,롯데
2024-07-17,NC,한화,카스타노,바리아,5,1,NC
2024-07-17,키움,KT,헤이수스,쿠에바스,2,9,KT
2024-07-17,롯데,두산,김상수,김유성,6,2,롯데
2024-07-17,LG,SSG,엔스,김광현,12,9,LG
2024-07-17,KIA,삼성,임기영,레예스,10,5,KIA
2024-07-18,NC,한화,신민혁,류현진,4,3,NC
2024-07-18,키움,KT,김동욱,박영현,8,12,KT
2024-07-18,롯데,두산,박세웅,곽빈,2,3,두산
2024-07-18,KIA,삼성,이준영,이상민,10,4,KIA
2024-07-19,한화,KIA,문동주,김도현,3,7,KIA
2024-07-19,삼성,롯데,백정현,김진욱,6,10,롯데
2024-07-19,KT,NC,우규민,임정호,6,0,KT
2024-07-19,LG,두산,임찬규,이교훈,16,7,LG
2024-07-19,SSG,키움,앤더슨,김선기,9,3,SSG
2024-07-20,한화,KIA,김기중,네일,4,8,KIA
2024-07-20,삼성,롯데,원태인,이인복,21,4,삼성
2024-07-21,한화,KIA,주현상,김승현,7,8,KIA
2024-07-21,삼성,롯데,오승환,김원중,6,5,삼성
2024-07-21,KT,NC,벤자민,김시훈,2,8,NC
2024-07-21,LG,두산,손주영,이영하,6,3,LG
